DATE,CUSTOMER ,ADDRESS,QUANTITY ,,RATE,,
,,"1100 Terminal Cir Dr, Ewing Township, NJ 08628",I just did these rates yesterday for u,Stone ,,,
,,"1100 Terminal Cir Dr, Ewing Township, NJ 08628",I just did these rates yesterday for u,Sand EW,,,
,,3 Pyne Rd South Brunswick,,Stone ,5.32,,
,NEW CUST,213 EASTNOBLE STREET  NATICOKE PA,,SALT,34.09,,
,,"389 N BROADWAY, PENNSVILLE ",,stone,16.4,,
,,1101 New ford Mill Rd MOrrisville PA,,Stone ,12,,
,CREAMER,"2131 Whitesville Road, Toms River, NJ",,stone,10.55,,
,,"339 ZION RD EGG HARBOR TWP, NJ",,STONE,16.51,,
,,"52 Ferguson road Warren, NJ",,Stone,7.22,,
,,15 Lambert rd Stockton ,,Stone,8.11,,
,,"2633 Pennington rd, Pennington NJ",,Stone,5.95,,
,,7 Major Rd South Brunswick ,,Stone,6.14,,
,,"2445 Pennington Rd Pennington, NJ 08534",,Stone,5.95,,
,,1850 Elizabeth Ave Rahway,,Sand EW,13.55,,
01/07/2026,ENTACT,"543 Irons Street Toms River, New Jersey 08753",,STONE,10.29,,
01/07/2026,ENTACT,"543 Irons Street Toms River, New Jersey 08753",,SAND EW,6.3,,
01/07/2026,,123 Hillside Ave Chatham,Assuming this is Chatham NJ,Stone,9.58,,
01/07/2026,,"20 French Street, New Brunswick NJ.",,Sand EW,10.83,,
,,"2127 ATCO AVE ATCO, NJ",,STONE,13.41,,
,,"2470 MEDFORD RD ATCO, NJ",,STONE,13.3,,
,,"112 Ferris Place Westfield, NJ.",,Stone,8.55,,
,,"112 Ferris Place Westfield, NJ.",,Sand EW,13.68,,
,,"112 Ferris Place Westfield, NJ.",,CC ET,10.59,,
,,199 Challenger Rd Ridgefield ,,Sand EW,18.01,,
,,199 Challenger Rd Ridgefield ,,Stone,13.83,,
,,"678 Higgins Ave, Brielle, NJ 08730",,Stone ,11.45,,
,WINZINGER,"250 N Main St, Manahawkin, NJ 08050",,stone,10.29,,
,,"696 Old Bridge Turnpike South River, NJ.",,Stone,7.98,,
,,606 Main St. Belmar Nj ,,stone,11.77,,
,,"240 Atrium Dr, Somerset, NJ 08873",,Stone ,6.46,,
,,"240 Atrium Dr, Somerset, NJ 08873",,Sand EW,11.27,,
01/09/2026,PANNA,"220 NEWPORT RD, LAKEWOOD, NJ",900,STONE,10.74,,
,,"3 Terminal Road New Brunswick, NJ.",,Stone,6.27,,
,,"3 Terminal Road New Brunswick, NJ.",,Sand EW,10.96,,
,,"3 Terminal Road New Brunswick, NJ.",,CC ET,7.47,,
,Lawnstyles ,78 John Miller Wayne Kearny,Existing ,Salt ,20.96,,
,,614 alloway woodstown rd pilesgrove nj,,cc wb,6.35,,
,,311 oak wood dr newfield,,sand,FR $4.26,,
,,"2356 station ave franklinville, nj",,sand,FR $3.88,,
,,25 Middlesex Turnpike Iselin,,Stone,8.3,,
,,1849 NJ 35 Laurence Harbor,,Stone,9.26,,
,,1849 NJ-35 Laurence Harbo,,Sand EW,11.65,,
01/12/2026,,810 Amwell Road Hillsborough NJ,,STONE,4.69,,
01/12/2026,FURINO,207 S 31ST ST. KENNILWORTH NJ,,STONE,9.69,,
,spinillo,"320 sullivan way ewing, nj",,stone,7.79,,
,,"Oxycocus Road & Route 9, Manahawkin, NJ",,stone,10.7,,
,,614 alloway woodstown rd pilesgrove nj,,CC LM,16.24,,
,,"209 Delsea Drive, SEWELL NJ 08080",,sand ,FR $5.95,,
,,"209 Delsea Drive, SEWELL NJ 08080",,stone ,13.74,,
,Vista,"#210 - 2501 Mt Holly Rd, Burlington Township, NJ 08016",,stone,9.37,,
,Vista,"#210 - 2501 Mt Holly Rd, Burlington Township, NJ 08016",,CC MV BR PH ET,BR $10.64/ET $8.21/MV $8.67/PH $10.75,,
,,"Route 50 & Upper Bridge Rd, Woodbine, NJ 08270",,stone ,17.4,,
,,"Route 50 & Upper Bridge Rd, Woodbine, NJ 08270",,sand ,9.5,,
,,"30 Silverline Drive,  North Brunswick NJ.",,Stone ,7.73,,
,,"30 Silverline Drive,  North Brunswick NJ.",,Sand EW,11.4,,
,,"30 Silverline Drive,  North Brunswick NJ.",,CC ET,6.97,,
,,"3 Terminal Road New Brunswick, NJ.",,STONE,6.27,,
,,"3 Terminal Road New Brunswick, NJ.",,SAND ,10.89,,
,,"3 Terminal Road New Brunswick, NJ.",,CC ET,7.47,,
,,"1 School St, Peapack, NJ 07977",,STONE,6.84,,
,,"1 School St, Peapack, NJ 07977",,CC ET,10.72,,
,Evercor ,311 STANLET K TANGER DR LANCASTER PA,,Salt,22.47,,
,,"510 WATER Street New Cumberland, Pennsylvania 17070
",,salt,31.32,,
01/13/2026,HEIDELBERG,"3870 N 2ND ST., PHILADELPHIA PA",1 LOAD,SALT,9.35,,
,,911 s main st west creek ,,sand ,3.8,,
,,911 s main st west creek ,,salt,21.28,,
,,1849 NJ 35 Laurence Harbor,Large 3-5' jetty.   50k ,Stone ,$22.51 + FSC,,
,,"389 N BROADWAY, PENNSVILLE ",bank run ,sand ew ,17.42,,
,,"389 N BROADWAY, PENNSVILLE",,sand fr,9.53,,
,Stone Depot,1465 Rt 113 Perkasie PA,New,Salt,11.99,,
,,53 Edgeboro Rd East Brunswick,120k tons,Sand EW,11.34,,
01/14/2026,Earle,"402 Taylor Ave, Beach Haven, NJ 08008",,stone,12.84,,
01/14/2026,winzinger,"2025 Marne Hwy, Hainesport, NJ 08036",,stone,10.56,,
,,"704 Sloan Ave, Hamilton Township, NJ 08619",,Stone,6.76,,
,,"85 New Brunswick Ave, Woodbridge, NJ 08861",*comes up perth amboy,Stone ,8.25,,
,,"85 New Brunswick Ave, Woodbridge, NJ 08861",*comes up perth amboy,Sand EW,11.4,,
,,241 Route 17N Maywood,,Stone ,12.54,,
,,"3 Davenport Place, Morristown, NJ.",,Stone ,8.36,,
,,": 490 CR-520, Marlboro Township, NJ",,Stone,11.02,,
,,": 490 CR-520, Marlboro Township, NJ",,Sand Ew,11.4,,
,,"2 Park Pl, South Orange Village, NJ 07079",,stone,9.82,,
01/15/2026,FERRIERA,"30 Goshen road, Cape may court house, NJ 08210 ",MAPS AS SWAINTON GOSHEN RD,STONE,18.98,,
,,"550 West Mount Pleasant Ave Livingston, NJ.",,Stone ,9.5,,
,,21 Dugan Lane Toms River,,Stone,10.17,,
,,1001 Rt 9 Parlin,,Stone ,9.37,,
,,"220 S. Main Street
Barnegat, New Jersey",,sand ew ,3.8,,
,,"220 S. Main Street
Barnegat, New Jersey",,stone,10.42,,
,,105 John Ringo Road Ringoes,,Stone,7.54,,
,,vista,,sand ,FR $7.41,,
,,"687 Pestletown Rd, Waterford Works, NJ 08089",,stone,14.12,,
,,1 Maxwell ct. Flemington ,,Stone,5.95,,
,,560 Steel gap Rd Bridgewater ,,Stone,5.7,,
,,39 Hewitt Rd Lambertville,,Stone ,6.08,,
,,"500 Memorial Drive Franklin Township, NJ 08873",,Stone,5.7,,
,,728 Rt 523 Whitehouse Station,,Stone,6.97,,
,,110 Summer Rd Flemington ,,Stone,6.4,,
,,145 Hopewell Wertsville rd Hopewell,,Stone,4.18,,
,,"534 Irons Street, Toms River, NJ 08753",,stone,10.48,,
,,"534 Irons Street, Toms River, NJ 08753",,sand,6.37,,
01/16/2025,Bulldog,1700 AMERICAS BLVD PENNINGTON NJ,,Salt,9.13,,
,,"126 seameadow dr little egg harbord, nj",,sand ew,3.8,,
,,960 RITTEN HOUSE RD EAGLSVILLE PA ,,STONE ,16.37,,
,,"Siloam Rd & Monmouth Road, Freehold Township, NJ",,Stone ,9.69,,
,Pierson,"Meribrook Circle & Sewage Plant Driveway , Willingboro Nj",,sand ,10.51,,
,Pierson,"Meribrook Circle & Sewage Plant Driveway , Willingboro Nj",,stone,10.58,,
,,301-343 Meinzer St Cliffwood ,,Stone,9.88,,
,,873 Rt 9 Freehold,,Stone,10.26,,
01/16/2026,SWEETWATER,"695 CLYDE RD, BRYN MAWR PA ",4000,SAND FR,15.06,,
01/29/2026,EMI,"7555 Alburtis Rd, Macungie, PA 18062",,Salt,18.91,,
,Western Lehigh ,7127 Ruppsville Rd Allentown PA,Existing ,Salt,18.784347826087,,
,,"200 blair mill road, horsham pa",,SALT ,8.30608695652174,,
,DVP,"688 high street Burlington, NJ 08016? ",,Sand,FR - $10.53 / EW - $11.48,,
,Morrison excav,"5 Carlton Court Barnegat, NJ",,Sand,3.88,,
,Morrison excav,"5 Carlton Court Barnegat, NJ",,Stone,10.41,,
,Central irri,"
3848 PARK AVE EDISON, NJ 08820",,Salt,15.4326086956522,,
,Bldr Source ,301 Rancocas road. Mount Holly. NJ. 08060,New,Salt,9.1304347826087,,
,M&O ,"200 South Barnegat Ave, Surf City, NJ 08008",,sand,3.91,,
,NEW CUST ,"1690 Newtown langhore rd
Newtown, Pennsylvania 18940",,SALT ,7.15,,
,NEW CUST,"1002 south first ave
coatesville, Pennsylvania 19320",,SALT,18.1195652173913,,
,Concrete ,"2 Rowand Way, Clementon, NJ",,STONE,13,,
,Central irri,"PetSmart
1500 Route 47 Rio Grande, NJ",,salt,28.1652173913044,,
,Central irri,"Shoprite
23 Bethel Rd Somers Point, NJ ",,salt,23.7086956521739,,
,Acacia ,"2101 Blair Mill Rd, Willow Grove, PA",,Salt ,7.98,,
,Acacia ,"261 Wilson Ave, Hanover, PA",,Salt,32.3391304347826,,
,New cust ,"9216 Ashton rd Philadelphia, pa ",,Salt ,7.1,,
,WICKLOW,"362 Rt 206,  Flanders NJ",,SALT,20.19,,
,WICKLOW,"160 Park Ave, Florham Park, NJ",,SALT,20.71,,
,new cust ,"500 treadway lane
creighton, Pennsylvania 15030",,salt,THIS IS 6 HOURS & 19 MINS ONE WAY AWAY FROM THE TERMINAL (RA),,
,," 1201 County Rd 509, Irvington NJ, 07111",,Stone,9.77,,
,central ,"196 rt 70 medford, nj",,salt,$14.74  (RA),,
,,1467 west bay Ave Barnegat ,New,Salt,$22.84 (RA),,
,,516 Ely Harmony Rd Millstone Twp,New ,Salt,$15.86 (RA),,
,,1648 Millstone River Rd Hillsborough ,New,Salt,$15.92 (RA),,
,JERSEY ,838 Piney Hollow Road hammonton nj ,,Salt ,$20.62 (RA),,
,NEW CUST ,"851 Hemlock Rd Morgantown, Pennsylvania 19543",,salt ,$24.42 (RA),,
01/20/2026,NJ Site and Utility ,"Route 133 & Cranbury Station Road East Windsor, NJ",50 TONS,1:15 DRY GROUT,,,
,S&E,401 stokes rd medford,,salt ,$15.26 (RA),,
,CENTRAL IRRI,"500 Rices Mill Rd Wyncote, PA",,SALT,$13.64(RA),,
,,Rt 133 & Cranbury Station Rd East Windsor,,Stone ,7.11,,
,,Rt 133 & Cranbury Station Rd East Windsor,,sand ew ,9.77,,
,,21 Kilmer Rd Edison,,Stone,7.98,,
,,"600 Linden Logistics Wy, Linden, NJ 07036",,Stone ,11.02,,
,,"600 Linden Logistics Wy, Linden, NJ 07036",,Sand EW,14.36,,
,central irri,"1281 Glassboro Rd Williamstown, NJ",,salt ,$16.94 (RA),,
,,1201 County rd 509 Irvington ,,Stone,*SEE 2983 ABOVE*,,
,,"741 Mountain Ave, Bound Brook, NJ 08805",,Stone,5.97,,
,West Amwell,624 Brunswick Pike Lambertville,Existing ,Salt ,$15.92 (RA),,
,,100 West Main St Lansdale PA,New ,Salt,$14.92 (RA),,
,A&B,206 Reaville Rd Flemington ,New,SALT,$17.49(RA),,
,,"126 seameadow dr little egg harbord, nj",,stone,11.32,,
,BRIGHTVIEW,"1 CAMPBELL PL CAMDEN, NJ",,salt,$14.00 (RA),,
,BRIGHTVIEW,"18 E. LAUREL RD STRATFORD, NJ",,salt,$15.96 (RA),,
,BRIGHTVIEW,"367 HURFFVILLE-CROSSKEYS RD BLACKWOOD, NJ",,salt,$17.99 (RA),,
,,"622 Eugenia Rd. Horsham, Pennsylvania 19446",,SALT,$11.75 (RA),,
,new cust ,316 union street luzerne pa ,,salt,$38.71 (RA),,
,CENTRAL ,"3012 S WHITE HORSE PIKE,  HAMMONTON, NJ",,,$21.05 (RA),,
,Wiley Paving ,335 new road Monmouth junction nj 08852,Existing ,Salt,$13.57 (RA),,
,Carns Landscaping ,17 B Burgners mill road Carlisle PA ,New,Salt,$44.42 (RA),,
,Totino Const,300 Laird Street Wilkes PA ,New,Salt,$38.1 (RA),,
,Sod Father,125 National Rd Edison,New,Salt,$18.1 (RA),,
,ESTOCK CONSTRUCTION,"92 Slocum Ave, Exeter, Pennsylvania 18643, United States",NEW,Salt,$39.12 (RA),,
,ESTOCK CONSTRUCTION,"225 Enterprise Way, Pittston, Pennsylvania 18640, United States",NEW,Salt,$38.16 (RA),,
,Realty,"1 NORTH FLOWERS MILL Rd Langhorne, Pa 19047",,Salt,$9.15 (RA),,
,Sweetwater,"103 Swedesford Rd, Exton, PA 19341",,Salt,$19.39 (RA),,
,Bergen Landacaping ,131 Rochelle Avenue Rochelle Park,New,salt,29.47,,
,PANNA,"50 VANDERVEER RD, FREEHOLD NJ",EXISTING,SALT,$19.65 (RA),,
,YAROS,350 Basin Rd Trenton,Existing ,Salt ,$10.61 (RA),,
,Cedar Creek,25 Rt 31 Pennington,New,Salt,9.68260869565217,,
,,"5 international ave sewell, nj",sand ,fr,FR $6.19,,
,YAROS,"2311 Egg harbor road, Lindenwald NJ",Existing ,Salt,13.1804347826087,,
,caruso,75 arneys mount rd pemberton nj,stone,stone,10.56,,
,Lopez Landacaping ,850 Bear Tavern Rd Ewing. ,New,Salt,8.43260869565217,,
,BUILDING SERVICES,"265 SHARP RD., EVESHAM, NJ",NEW,SALT,$14.74 (RA),,
,,"235 Baird Rd, Branchburg, NJ 08876",,Stone ,5.81,,
,,"235 Baird Rd, Branchburg, NJ 08876",,sand ew ,12.16,,
,,Kean University Union Nj,,Stone,9.99,,
,,Kean University Union Nj,,Sand EW,14.52,,
01/21/2026,DANCO,"1297 CENTENNIAL AVE., PISCATAWAY NJ",EXISTING,SALT,$18.45 (RA),,
,,600 Atrium Dr Franklin Twp,,Stone,6.46,,
,,600 Atrium Dr Franklin Twp,,Sand Ew,11.29,,
,,"1 Audrey Zapp Dr, Jersey City, NJ 07305",,Stone ,12.88,,
,,476 Brunswick Ave Trenton,,Sand EW,11.21,,
,,476 Brunswick Ave Trenton,,Sand FR,13.11,,
,new cust,"9701 Roosevelt Blvd Philadelphia, Pennsylvania 19114",,salt,8.53,,
,,"390 Middlesex Avenue, Carteret NJ 07008",,Stone,10.54,,
,,"390 Middlesex Avenue, Carteret NJ 07008",,Sand Ew,13.78,,
,,"372 Witherspoon St. Princeton, NJ",,Stone ,4.48,,
,,"203 Church Rd, North Wales, PA 19454",,Stone ,13.74,,
,,"203 Church Rd, North Wales, PA 19454",,SAND FR,17.85,,
,,"235 Baird Rd, Branchburg, NJ 08876",,Stone,**THIS IS ABOVE - 3028,,
,,"220 South Main St, Barnegat, NJ 08005",,sand ,3.8,,
,,"220 South Main St, Barnegat, NJ 08005",,stone,10.41,,
,Builders source,210 WILLIAMSTOWN NEW FREEDOM RD Berlin,Existing ,SALT ,14.14,,
,CAruso,75 arneys mount rd pemberton nj,,sand,EW - $9.99 / FR - $11.02,,
01/22/2026,CARUSO,"CROSS AVE & RARITAN ST, S AMBOY NJ",5 LOADS,SAND,EW $11.29,,
,earle ,"801 W CALIFORNIA AVE, ABSECON , NJ",,stone,14.17,,
,J&J ,"229 bordentown chesterfield rd , chesterfield,nj",,sand ,$10.56 - EW,,
,J&J ,"230 bordentown chesterfield rd , chesterfield,nj",,stone,8.82,,
,NELLO,"2935 E VICTORIA ST, PHILADELPHIA",,salt,8.68,,
,ZL ,194 back creek rd woolwich nj,,stone,15.9,,
,Executive ,350 Riverside Dr Keasby,Existing ,Salt,18.52,,
,,"220 South Main St, Barnegat, NJ 08005",,CC ,BR - $8.05,,
,DEBEX,"2424 Lincoln Hwy, Langhorne, PA 19047.",,stone,10.21,,
,NJ SITE,"1209 US Highway 9 howell, nj",,SAND,9.91,,
,NJ SITE,"1209 US Highway 9howell, nj",,STONE,10.41,,
,,"7711 easton rd ottsville, pa ",,salt,13.74,,
,,Rt 36 & Florence Ave Long Branch ,,Stone,12.72,,
,,Rt 36 & Florence Ave Long Branch ,,Sand EW,12.01,,
,Concrete sys,"539 Atlantic City Blvd, Bayville, NJ",,stone,10.45,,
,,71 Imclone Dr Branchburg,,Stone,5.57,,
,,71 Imclone Dr Branchburg,,Sand EW,11.91,,
,,"152 West Street South Plainfield, NJ.",,Stone ,7.22,,
,,"152 West Street South Plainfield, NJ.",,Sand EW,11.53,,
,,"152 West Street South Plainfield, NJ.",,CC ET,7.85,,
,,1044 Rt 9 Old Bridge,,CC ET,6.08,,
,,"50 millstone road, east Windsor, nj 08520",,SALT ,10.43,,
,RCC,"3601 North Delaware Ave. Philadelphia, PA",,stone,14.85,,
,EARLE,1300 IMPERIAL WAY WESTDEPTFORD NJ,,SAND ,FR $7.14,,
,COPPERTINO,"Meribrook Circle & Sewage Plant Driveway, Willingboro",,SAND,FR $10.51,,
,COPPERTINO,"Meribrook Circle & Sewage Plant Driveway, Willingboro",,STONE,10.64,,
,ECF,6736 Tilghmam St Allentown PA,,Salt,18.31,,
,,"200 Crossroads Blvd Bridgeport, NJ 08014",,stone,14.76,,
,,"312 w rt 38 moorestown, nj",,SALT,10.83,,
01/28/2026,Latinos Landscaping,"132 Tuckahoe Rd, Sewell, NJ",,SALT,14.5,,
,eric,"528 Mount Laurel Rd, Mount Laurel, NJ 08054",,sand,FR $8.49 / EGL $11.21,,
,Debex,"294 S White Horse Pike, Berlin, NJ 08009",,sand,6.02,,
,Debex,"294 S White Horse Pike, Berlin, NJ 08009",,stone,13.24,,
,Ultra Equipment,"1467 West Bay Ave, Barnegat, NJ 08005",,SALT,,,
,C-Scape Irrigation,"6677 Black Horse Pike, Egg Harbor Twp, NJ 08234",,SALT,,,
,ACUA,"6700 Delilah Road
Egg Harbor Township, NJ 08234",,clay ew/pn,PN - $12.78 / EW - $7.98,,
,,"317 Rt 70 Medford NJ
",,SAND FR,9.96,,
,,100 METROPLEX DR EDISON NJ,,SAND EW,12.82,,
,"LINCROFT ENTERPRISES ASSOCIATES, LLC",125 HALF MILE RD RED BANK NJ,,SAND EW,13.85,,
,"COUNTRY CLUB MEADOWS, LLC",2390 RT 206 BELLE MEAD,,SAND EW,10.92,,
,PIKE RUN LLC,40 PIKE RUN RD. BELLE MEAD NJ,,SAND EW,11.08,,
,SUN VALLEY PLAZA LLC,"216 VALLEY WAY, FLORHAM PARK NJ",,SAND EW,15.82,,
,BLUEBERRY VILLAGE,2674 WILBERRY CY EDISON NJ,,SAND EW,12.99,,
,RENAISSANCE GLEN,300 RENAISSANCE BLVD. NORTH BRUNSWICK NJ,,Sand EW,12.78,,
,WOODHAVEN VILLAGE,528 TEXAS RD. OLD BRIDGE NJ,,Sand EW,12.14,,
,WOODHAVEN VILLAGE,58 CANNON RD. OLD BRIDGE NJ,,Sand EW,12.69,,
,DELAWARE HEIGHTS,2201 SCENIC DR. EWING NJ,,Sand EW,12.61,,
,HALSTON BUILDERS,2201 SCENIC DR. EWING NJ,,Sand EW,12.61,,0
,OAK TREE ASSOCIATES,25 CINDER RD. EDISON NJ,,Sand EW,13.96,,
,HARBORTOWN TERRACE,600 HARBOTOWN RD. PERTH AMBOY NJ,,Sand EW,13.33,,
,STATION VILLAGE,200 STATION DR. AVENEL NJ,,Sand EW,15.36,,
,CARTERET TERRACE,100 ABBI RD. CARTERET NJ,,Sand EW,15.24,,
,CARTERET GARDENS,33 WEDGEWOOD DR CARTERET NJ,,Sand EW,14.82,,
,EDISON WOODS,"1106 RT 1, EDISON NJ",,Sand EW,12.78,,
,NORTH BRUNSWICK MANOR,2820 BIRCHWOOD CT. NORTH BRUNSWICK NJ,,Sand EW,12.82,,
,MAEBOOK AT RENAISSANCE,700 PLACE NORTH BRUNSWICK NJ,,Sand EW,13.45,,
,RIVENDALE HEIGHTS,101 MINDY LANE PISCATAWAY NJ,,Sand EW,12.82,,
,SUN VALLEY PLAZA LLC,3200 DARLING DR FLORHAM PARK NJ,,Sand EW,17.21,,
,EXCHANGE AT SECAUCUS ,300 RIVERSIDE STATION BLVD. SECAUCUS NJ,,Sand EW,18.68,,
,VILLAGE AT AUTUMN,"400 HOOVER WAY, WOODBIDGE NJ",,Sand EW,12.82,,
,WOODBRIDGE CENTER PLAZA,1601 PLAZA DR. WOODBRIDGE NJ,,Sand EW,13.54,,
,HARBORTOWN TERRACE,900 HIGH ST. PERTH AMBOY NJ,,Sand EW,13.2,,
,BOULDERS TA BEEKMAN,3000 CORNWALL RD. MONMOUTH JUNCTION NJ,,Sand EW,12.18,,
,AR NORTH DEVELOPERS,192 BLOOMFIELD AVE. BLOOMFIELD NJ,,Sand EW,18.23,,
,LIBERTY TERRACE @ EAST RUTHERFORD,140 HAKENSACK ST. EAST RUTHERFORD NJ,,Sand EW,19.69,,
,HAWTHORNE SQUARE,175 FOREST AVE. HAWTHORNE NJ,,Sand EW,20.42,,
,TOWNE CENTER AT ENGLEWOOD LLC,20 W. PALISADE AVE. ENGLEWOOD NJ,,Sand EW,20.75,,
,JOSEPH KUSHNER JEWISH ACADEMY,110 S. ORANGE AVE. LIVINGSTON NJ,,Sand EW,17.64,,
,Parkway Town. Enter Urban Renewal ,1445 PARKWAY AVE. EWING NJ,,Sand EW,12.82,,
,West Windsor Gardens ,1 RAVEN BLVD. WEST WINDSOR NJ,,Sand EW,11.52,,
,,200 Port Monmouth Rd Port Monmouth ,,Sand EW,14.5,,
,,719 Port Monmouth Rd Port Monmouth ,,Sand EW,14.5,,
,,Port Monmouth Rd & Main St Port Monmouth ,,Sand EW,14.5,,
,, 217 Walnut Lane Princeton ,,Stone,4.56,,
,,155 Brewster Rd Newark,,Stone ,10.32,,
,,155 Brewster Rd Newark,,Sand EW,14.9,,
,,200 S.Inman Ave Avenel,,Stone ,9.25,,
,,200 S.Inman Ave Avenel,,Sand EW,12.6,,
,,200 S.Inman Ave Avenel,,CC ET,8.67,,
,,"317 Route 70, Medford, NJ 08055 ",,stone,10.96,,
,,53 Edgeboro Rd East Brunswick ,,Sand EW,11.34,,
,,53 Edgeboro Rd East Brunswick ,"1000 tons 12"" rip rap ",Larger Stone ,$14.22 +FSC,,
,Petillo ,400 Linden Logistics Way Linden,,Stone ,11.02,,
,Petillo ,400 Linden Logistics Way Linden,,Sand EW,14.36,,
,EARLE,"Moore Blvd & East Ave, Clayton, NJ 08312. ",,STONE,15.94,,
,EARLE,"Moore Blvd & East Ave, Clayton, NJ 08312. ",,SAND,FR $4.43,,
,,"42 Butler Street Elizabeth, NJ.",,Stone,12,,
,,"42 Butler Street Elizabeth, NJ.",,Sand EW,15.28,,
,,"42 Butler Street Elizabeth, NJ.",,CC ET,11.34,,
,,New Brunswick Ave & Kilmer Ct Piscataway,,Stone,7.03,,
,,"Chestnut St & S 19th St, Philadelphia, PA 19103
 ",,stone,14.86,,
,,"3941 Ridge Pike, Collegeville, PA 19426",,Sand Ew,20.57,,
,,"704 Hurffville Rd, Deptford NJ",,FR Sand,6.64,,
,,Cavan Point Ave & Distillery Dr Jersey City ,,Stone,12.16,,
,,"230 Davidson Ave, Somerset, NJ",,Stone,6.33,,
,,"230 Davidson Ave, Somerset, NJ",,Sand EW,11.15,,
,,"230 Davidson Ave, Somerset, NJ",,CC ET,8.12,,
,Krisanna,"129 W Cohawkin Road
Clarksboro NJ 
",,clay pn ew,12.54,,
,Krisanna,"894 Tuckerton Road Marlton, NJ 08053.",,sand,11.21,,
,Krisanna,"894 Tuckerton Road Marlton, NJ 08053.",,stone,11.9,,
,,"1200 Little Gloucester Rd., Clemonton, NJ 08021",,STONE,13.36,,
,,330 Carter Rd Princeton,,Stone,4.56,,
,decker septic,"1406 oldmans creek rd woolwich, nj",,sand, FR $8.23,,
,,111 Paterson Plank Rd Carlstadt,,Stone,13.53,,
,,"1465 Route 113. Perkasie, Pa. 18944",,Sand EW,19.32,,
,,"1465 Route 113. Perkasie, Pa. 18944",,SAND FR,20.64,,
,,1207 Rt 9 Howell ,,Stone ,10.42,,
,,1207 Rt 9 Howell ,,Sand EW,9.91,,
,,1207 Rt 9 Howell ,*,CC ET,4.18,,
,debex,"1577 Hurffville Rd, Sewell, NJ 08080",,sand ,FR - $6.19,,
,debex,"1577 Hurffville Rd, Sewell, NJ 08080",,stone,13.38,,
,carvella,"401 Academic Drive, Pemberton, NJ)",,STONE,11.32,,
,,"18 MIDDLEBURY LANE, WILLINGBORO, NJ 08046",,Stone,10.58,,
,,Grove Park. Grove Rd South Orange ,,Stone ,9.8,,
,,800 River Road Norristown PA,,Stone,17.07,,
,,25 2nd St Perth Amboy ,"Large rip rap 24-36"" 1000 tons  ",Stone,$16.84 (trailers preferred per hauler),,
,,1525 Main Ave Clifton,,Stone,11.78,,
,,1525 Main Ave Clifton,,Sand EW,17.65,,
,,294 River Rd Princeton ,,Stone,4.29,,
,,700 Rt 46 W Clifton,,Stone,11.89,,
,,24 Kilmer Rd Edison ,,Stone,7.87,,
02/09/2026,,97 daum road Manalapan ,,Stone,9.04,,
02/09/2026,,16 Rt 102 Ringoes ,Assuming this is Route 202,Stone,5.81,,
02/09/2026,,16 Rt 102 Ringoes ,Assuming this is Route 202,SAND EW,11.86,,
02/09/2026,,"1200 John Galt Way Burlington, NJ",,stone,9.69,,
02/09/2026,,"1200 John Galt Way Burlington, NJ",,sand,11.67,,
02/09/2026,,"1200 John Galt Way Burlington, NJ",,cc,,,
02/09/2026,,229 bordentown georgetown road chesterfield nj,,sand,10.64,,
02/09/2026,,16 Charlotte Hill Dr Bernardsville ,,Stone,7.14,,
02/09/2026,,505 Riva ave east Brunswick 08816,,Stone,7.68,,
02/09/2026,QUALITY,"127C MCCOY RD, OAKLAND NJ 07436",NEW DEVELOPMENT,STONE,11.78,,
02/09/2026,,"203 Marquis Rd, East Stroudsburg, PA 18302",,Stone ,18.46,,
02/09/2026,,"203 Marquis Rd, East Stroudsburg, PA 18302",,SAND EW,25.16,,
02/09/2026,DEBEX,"250 Memorial Ave, Camden, NJ 08103",,SAND,7.14,,
02/09/2026,earle,Ship Bottom – West 7th St - ,,stone,11.32,,
02/10/2026,,206 Delawanna Ave Clifton,,SAND EW,17.27,,
02/10/2026,,61-89 Avenue K Newark,,SAND EW,14.91,,
02/10/2026,,100 Bogert St Closter ,,SAND EW,20.86,,
02/10/2026,,385 Asbury Rd Farmingdale,,SAND EW,10.4,,
02/10/2026,msp,203 E. Main St Moorestown NJ,,stone,10.64,,
02/10/2026,,1550 Rt 22 Bridgewater ,,Stone ,5.59,,
02/10/2026,,719 Port Monmouth Rd Port Monmouth ,"This was for 12-24"" rip rap 750 tons",Stone,11.78,,
02/10/2026,EARLE,"NJ Turnpike Mile Marker 15.6, Mickleton NJ, 08056",10k,SAND,FR $8.00,,
02/10/2026,EARLE,"NJ Turnpike Mile Marker 15.6, Mickleton NJ, 08056",15k,STONE,15.39,,
02/11/2026,EARLE,"NJ Turnpike Mile Marker 15.6, Mickleton NJ, 08056",2k,clay ew or pn,EW $16.61 PN $13.13,,
02/11/2026,PILLARI,"100 Neptune Dr, Manahawkin, NJ 08050 ",5k,STONE,10.07,,
02/11/2026,PILLARI,"100 Neptune Dr, Manahawkin, NJ 08050 ",4k,sand,3.8,,
02/11/2026,,"106 Hopewell Rocky Hill Rd, Hopewell, NJ 08525",20 loads,Sand EW,10.58,,
02/11/2026,,266 Locktown Rd.Flemington ,20 loads,Sand EW,14.44,,
02/11/2026,,40 Snydertown Rd.Hopewell,20 Loads,Sand EW,11.15,,
02/11/2026,REMCO,"108 East Parkway Drive, Egg Harbor, NJ 08234",500,stone,14.38,,
