DATE,CUSTOMER ,ADDRESS,QUANTITY ,,RATE,,
,,"733 NJ-72 Manahawkin, NJ",1500 TONS,CRUSHED,$8.39/ton,,
02/21/2025,Molly,"13000 McNulty Rd., Philadelphia, PA",1200 Tons,#57,$12.31/ton,,
02/21/2025,Fabbri,"Corporate Blvd., Robbinsville, NJ","17,000 Tons ",Crushed MV/PH/ET,MV CC $7.30/TON,,
,,"Corporate Blvd., Robbinsville, NJ",,,PH CC $9.84/TON,,
,,"Corporate Blvd., Robbinsville, NJ",,,ET CC $5.56/TON,,
,,485 CLINTON AVE NEWARK,1K TONS,stone ,$9.88 / TON,,
,,135 WHITMAN AVE EDISON,,stone ,$7.73 / TON,,
,,135 WHITMAN AVE EDISON,,sand ew ,$11.72 / TON,,
,,186 SANDY RIDGE MOUNT AIRY RD STOCKTON,,stone ,$8.87 / TON,,
,,NEWPORT AVE & KATHRYN ST FRANKLIN,,stone ,$6.59 / TON,,
,,201 LYONS AVE NEWARK,,stone ,$9.50 / TON ,,
,,FOOT OF COLONY RD JERSEY CITY,,stone ,$11.73/TON,,
,,FOOT OF COLONY RD JERSEY CITY, 10K  3-4' JETTY,stone ,$28.16 / TON,,
,,853 NOTTINGHAM WAY HAMITON/TRENTON,,stone ,$7.73 / TON,,
,,853 NOTTINGHAM WAY HAMITON/TRENTON,,sand ew ,$11.21 / TON,,
,,"100 S Black Horse Pike, Williamstown, NJ 08094",1000 tons ,stone ,$15.20 / TON,,
,,"100 S Black Horse Pike, Williamstown, NJ 08094",1000 tons ,sand (FR),$3.86 / TON,,
,,"1971 Burlington-Mount Holly Rd, Westampton Township, NJ 08060",10k TONS,stone ,$9.88/TON,,
,,"1971 Burlington-Mount Holly Rd, Westampton Township, NJ 08060",1700 tons,crushed,SH CC - $4.24/TON,,
,,287 FRESH POND RD SOUTH BRUNSWICK ,400,stone ,$7.98 / TON,,
,,"387 Tylers Mill Road 08080 
",2 loads ,stone ,$14.06 / TON,,
,,"1193 mays landing rd hammonton, nj",2 loads ,crushed,BL CC $4.62/TON,,
,,HILLBOURNE BLVD EAST BRUNSWICK,2K,stone ,$7.85 / TON,,
,,184 HARTS LANE EAST BRUNSWICK,1K TONS,stone ,$8.17 / TON,,
02/25/2025,CARUSO,"CROSS AVE & RARITAN ST INTERSECTION, S AMBOY NJ","7K STONE, 2K SAND (EW)",STONE/SAND,STONE $8.61 / EW SAND $11.27,,
02/25/2025,GW PEOPLES,"111 STATE ST, SEWAREN NJ 07077",1 LOAD,STONE,$8.68 / TON,,
,,"118 west street west creek, nj",2loads,stone,$10.98 / TON,,
,,"106 curlew rd, tuckerton, nj",4 loads,sand ,EW SAND - $4.18 /TON,,
,,"22000 Burlington Columbus Rd, Columbus, NJ 08022. ","10,000 ton","RIP 12""+",$10.27/ton +FSC,,
,,121 CORPORATE BLVD ROBBINSVILLE,17K,STONE,$8.42 / TON,,
,,701 JOYCE KILMER BLVD NEW BRUNSWICK,17K,CRUSHED MV/ET,MV CC $10.19/TON,,
,,701 JOYCE KILMER BLVD NEW BRUNSWICK,,,ET CC $7.07/TON,,
,,50 ESTATES BLVD SKILLMAN,4K,STONE,$3.79/TON,,
,,"1202 Tuckahoe Rd, Milmay, NJ 08340",700 TONS,CRUSHED,BERLIN $8.33/TON,,
,,2 KING ARTHUR CT NORTH BRUNSWICK,1 LOAD,STONE,$7.64/TON,,
,,111 OBSERVER HIGHWAY JERSEY CITY,1 LOAD,STONE,$12.97/TON,,
,,"1202 Tuckahoe Rd, Milmay, NJ 08340",600,stone,$15.52/ton,,
,,303 S. HARRISON ST PRINCETON,1500,STONE,$4.93/ton,,
,,303 S. HARRISON ST PRINCETON,100,SAND EW,$9.85/ton,,
,,"1609 Mount Holly Road in Burlington, NJ.  ",1200,stone,$9.41/ton,,
,,SOUTH 8TH & SUSSEX AVE NEWARK,8K,STONE,$10.99/ton,,
,,"1001 CHERRY HILL RD
PRINCETON, New Jersey 08540
",1 load,stone,$3.79/ton,,
,,"1121 Downingtown Pike
Pennsylvania West Chester
",1 load,sand,FR $15.09/TON,,
,,"310 S Burnt Mill Rd, Voorhees Township, NJ 08043",7500 tons,sand,FR $6.50/TON,,
,,"520 Grieves Parkway Salem, NJ 08079 ",1200,stone,$18.50/TON,,
,,"520 Grieves Parkway Salem, NJ 08079 ",500,sand,FR $9.60/TON / EW SAND - $19.38/TON,,
,,295 TOWNSHIP LINE RD BELLE MEAD,500,STONE,$3.79/ton,,
